scorer,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180
bodyparts,head,head,head,eye1,eye1,eye1,eye2,eye2,eye2,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,body5,body5,body5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
42,364.84833,383.90735,0.8611459,375.2917,379.5643,0.9356287,358.1105,376.055,0.9744894,375.40103,355.42908,0.88096535,386.2494,329.92493,0.71649694,390.49393,312.4518,0.66582435,405.81784,289.06827,0.78519714,419.28668,279.72903,0.68083704
43,352.37277,400.88232,0.86486536,363.08188,395.02695,0.9793841,346.44067,392.11615,0.944247,365.29532,368.86053,0.85025334,377.78122,346.028,0.7870744,389.97098,328.45258,0.88623077,400.98074,310.1124,0.8849785,414.888,287.32407,0.66142327
44,353.34338,400.3968,0.8937507,364.34332,394.46362,0.99157655,347.10437,391.85327,0.9774898,366.04803,370.29776,0.8397679,378.59167,347.468,0.78832793,389.18134,329.41306,0.8613614,399.86865,310.7517,0.8530332,416.02347,289.91803,0.58269876
45,354.83597,400.73645,0.90529835,366.16028,394.56247,0.99065095,348.66077,392.0528,0.9904787,366.96024,370.11032,0.8587911,379.19485,347.34192,0.78065795,389.2072,329.52606,0.8619687,399.43344,310.749,0.85354,415.36133,291.12164,0.5898742
46,354.92407,400.97296,0.9038643,366.2822,394.75497,0.9868384,348.7388,392.2217,0.9858159,367.1822,370.27533,0.877294,378.92038,346.99234,0.79440945,388.58136,330.0674,0.88979083,400.36032,310.5912,0.8778749,413.24768,292.53552,0.6671831
47,356.01746,401.1405,0.89004225,367.32123,394.31705,0.9770369,349.6861,392.32864,0.95864356,369.19382,368.09586,0.8963188,380.90115,344.8458,0.6386649,391.64285,320.99472,0.6689765,405.03833,306.06195,0.84556013,416.81674,296.4417,0.75499445
48,351.58365,400.609,0.8240095,361.79883,394.81183,0.9639359,345.23492,392.21463,0.8921598,361.12753,360.2663,0.7592915,370.62308,340.10626,0.7054496,378.63647,319.8738,0.7119117,369.0743,298.05795,0.6731023,348.10483,268.30478,0.8404526
49,353.29514,398.5486,0.7990344,362.92218,392.8034,0.94457275,346.85114,390.858,0.8882648,359.26794,358.71335,0.7162713,364.49515,335.26123,0.77782863,370.01688,297.42575,0.7884607,374.35867,277.0645,0.82660097,380.57907,253.18419,0.78070915
50,355.65186,395.1396,0.84680384,365.58224,390.01294,0.9719602,348.9102,386.5769,0.94607943,360.01132,357.31436,0.71102846,365.83066,334.5577,0.7397844,369.4469,297.94678,0.7825328,373.85336,277.9932,0.8427842,380.44516,254.40746,0.77215546
51,357.53168,392.46375,0.88121927,367.3022,388.03082,1,350.85193,385.98825,0.969437,361.01706,354.64023,0.7300267,366.06552,329.97885,0.7340506,369.38824,304.77924,0.7961095,373.94025,277.52588,0.8343763,380.40604,253.94121,0.7780878
